date,code,short,full,day5,day10,day20,day60,day120,day250,day364
2017/05/05,002403,爱仕达,爱仕达2016年度业绩网上说明会,-0.02028319938767704,-0.01636263128800458,-0.026883952667635536,0.028268951331358146,-0.01994322999225882,-0.04419766796224368,-0.11368488507394761
2017/04/26,300521,爱司凯,爱司凯2016年度业绩网上说明会,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/04/13,300015,爱尔眼科,爱尔眼科2016年度业绩网上说明会,0.008326064546824292,0.0047846889952154175,-0.004283419596644706,-0.22386732470766083,-0.09067056769383244,0.1344061367553926,0.48402634609077727
2017/05/03,002610,爱康科技,爱康科技2016年度业绩网上说明会,-0.011807447774750138,-0.08172043010752701,-0.08172043010752701,-0.08172043010752701,-0.014713750668806919,-0.03762362542361167,-0.10913969188159935
2017/05/08,002416,爱施德,爱施德2016年度业绩网上说明会,-0.036618098159509005,0.022421524663677223,-0.026531408505657286,0.07899361555402318,0.06446860280822363,-0.09784299520977584,-0.1680111774587918
2017/05/05,002714,牧原股份,牧原股份2016年度业绩网上说明会,-0.030882493546228167,-0.040476588163242636,-0.04968844436124423,0.09095097766301605,0.4903959593754333,0.5771503988956548,0.18223160582328943
2017/04/11,002728,特一药业,特一药业2016年度业绩说明会,-0.007699796442162938,-0.059284726007295306,-0.062368369324085064,-0.11227563700263599,-0.05146182925834251,-0.13337951481732904,-0.05757033992913417
2017/04/27,002213,特尔佳,特尔佳2016年度网上业绩说明会,-0.0034818941504179256,-0.029929951178093897,0.0006725771935186242,-0.01177607874154162,-0.02782753326509687,-0.22111049432025853,-0.39812453499417405
2017/04/24,300001,特锐德,特锐德2016年度业绩网上说明会,0.012153204026516108,0.05589307411907644,-0.03040334523913215,0.040841083704002926,-0.009532748658082759,-0.13698670302443908,-0.15694819792402154
2017/04/17,002684,猛狮科技,猛狮科技2016年度业绩说明会,-0.004372267332917055,-0.004372267332917055,-0.004372267332917055,-0.004372267332917055,-0.004372267332917055,-0.10585143065332536,-0.17482400966384812
2017/04/27,002735,王子新材,王子新材2016年度业绩网上说明会,0.062081815871940234,-0.0190210499619579,0.0034589275474908986,-0.017568488759001778,-0.006317981801672862,-0.12070047390474727,-0.09673207430725558
2017/05/08,002799,环球印务,环球印务2016年度网上业绩说明会,0.012662099339368555,0.025590485417432206,-0.09390137871071919,-0.2742556573320005,-0.14441901856089528,-0.06860706860706856,-0.4238092562254968
2017/04/19,300425,环能科技,环能科技2016年度业绩说明会,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/04/05,300317,珈伟股份,珈伟股份2016年度业绩说明会,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/04/06,002461,珠江啤酒,珠江啤酒2016年度业绩网上说明会,0.023784167554135538,-0.03480207591330002,-0.07904548844146163,-0.0834210689292128,-0.03545869890429812,-0.0264934936908513,-0.10179907658016171
2017/03/14,300557,理工光科,理工光科2016年度业绩说明会,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/05/09,002322,理工环科,理工环科2016年度业绩说明会,0.022212637481130067,0.017670794490051576,-0.009067589333651491,0.002557544757033145,0.04346483479211716,-0.15680072300045184,-0.26958789522979
2017/04/24,300206,理邦仪器,理邦仪器2016年度业绩说明会,0.029011786038077997,0.03045543447890482,0.013157894736842276,-0.03204627168985461,-0.020330487690472885,-0.061996147535136215,-0.17724564729887102
2017/04/05,300241,瑞丰光电,瑞丰光电2016年度业绩说明会,-0.011137484024100903,-0.037494242284661514,-0.08204543097189083,-0.08733793328041366,0.034628893210647514,0.28759993561195446,0.17144044932380836
2017/04/27,300243,瑞丰高材,瑞丰高材2016年度业绩网上说明会,0.007575757575757563,-0.004619907601847939,0.01507476350320401,-0.01036799715213799,-0.033765552800323465,0.039159841507036094,-0.019019907672463105
2017/05/08,300154,瑞凌股份,瑞凌股份2016年度业绩说明会,0.003301108229191284,0.003106796116504719,-0.01334379905808456,0.008870150847318261,0.014631354098314767,-0.18489346368593113,-0.19334168566177506
2017/05/09,002620,瑞和股份,瑞和股份2016年度业绩网上说明会,0.014127529591447108,0.059809398619782995,-0.03916880875770697,0.004426931886964675,-0.48588633462751224,-0.4948890765333539,-0.44623918655794165
2017/04/25,002790,瑞尔特,瑞尔特2016年度业绩网上说明会,0.007785467128027979,-0.022454763461957527,-0.05792391512139178,-0.01380659054120331,-0.04008160459469303,-0.1530122616438995,-0.15974231254196702
2017/04/11,002589,瑞康医药,瑞康医药2016年度业绩说明会,-0.012860082304526748,0.01873297002724798,0.0269153390245228,-0.48374605201263354,-0.3344280952768068,-0.25545231893636056,-0.05293656283796296
2017/04/27,300119,瑞普生物,瑞普生物2016年度业绩网上说明会,-1.1913862101946682e-16,-0.0426184793726561,-0.014801893845003803,0.0025639683951651855,0.0021415504131368328,-0.09422492401215855,-0.08463235583805045
2017/04/07,002066,瑞泰科技,瑞泰科技2016年度业绩说明会,-0.03381389252948884,-0.06688142353121644,-0.13242189039044952,-0.08268351265093941,-0.1024684913118054,-0.20433598793286362,-0.22801740834415643
2017/05/03,300600,瑞特股份,瑞特股份2016年度业绩网上说明会,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/05/05,002095,生意宝,生意宝2016年度业绩网上说明会,0.03461481808808358,0.008184741303712398,-0.04089947194588952,0.015585448759673258,0.05646778708480403,-0.037583693638048137,0.18321781824712752
2017/04/28,300461,田中精机,田中精机2016年度业绩网上说明会,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/04/24,002468,申通快递,申通快递2016年度网上业绩说明会,0.0026985350809562007,0.002699575780948719,-0.003477588871715742,-0.0009672360525497698,0.031683593859493424,-0.037762782835675905,-0.06753740196561127
2017/05/09,002730,电光科技,电光科技2016年度业绩网上说明会,0.011162630946247736,0.03167320358173621,0.028945879690741215,0.025686753919171454,-0.07160348200020866,-0.1263919418343436,-0.2201498232525195
2017/03/31,300215,电科院,电科院2016年度业绩说明会,0.020346646571213232,-0.05471496255540293,-0.03990753132984545,-0.11519713424173048,0.09608548806821322,-0.170150218058472,-0.22207292591437267
2017/05/10,002715,登云股份,登云股份2016年度网上业绩说明会,-0.00635276532137525,-0.0025692530480683094,-0.0027784938844490244,0.07912266450040634,0.1202767742618765,-0.05941493839442842,-0.2993311432015311
2017/04/28,002041,登海种业,登海种业2016年度业绩说明会,-0.00532043530834334,-0.015123570638140913,-0.011729738336606472,0.012921488956074489,0.015628878490066667,-0.03241564448109384,-0.24205307764247502
