date,code,short,full,day5,day10,day20,day60,day120,day250,day364
2017/04/06,002069,ST獐岛,ST獐岛2016年度业绩说明会,-0.01958224543080937,-0.05846379647749484,-0.1104162264948237,-0.1480513785801372,-0.15343622760502545,-0.15775718963383084,-0.2131233785033408
2017/04/13,002029,七匹狼,七匹狼2016年年度业绩网上说明会,-0.015753585704208834,-0.02802479116141202,-0.037428194054258235,-0.05338498622589567,-0.05788956061606799,-0.09351632608866788,-0.10003451373926237
2017/04/14,002085,万丰奥威,万丰奥威2016年度业绩说明会,-0.03477416911277328,-0.046244373475494684,-0.06072180773212442,-0.05721036675979326,-0.08604761053803077,-0.07180208258869233,-0.08230008077392002
2017/04/26,002543,万和电气,万和电气2016年度业绩网上说明会,-0.013704994192799148,0.020067000563866122,0.04028532822172643,0.14369749851863026,0.22207793911252788,0.18956254094216948,0.21942702013333493
2017/03/14,300482,万孚生物,万孚生物2016年度业绩说明会,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/05/05,002590,万安科技,万安科技2016年度业绩说明会,-0.0257539817011182,-0.05138607167004743,-0.10666977249786473,-0.2097520835319444,-0.22914778147674597,-0.3041889821663016,-0.4175777605065608
2017/04/24,002654,万润科技,万润科技2016年度业绩网上说明会,-0.036274509803921495,-0.0708970369368151,-0.12181818181818196,-0.15384451043647315,-0.15197244138237564,-0.31426295126784154,-0.39348297853062353
2017/03/06,002643,万润股份,万润股份2016年度业绩说明会,0.021548241838288983,0.027083648846483985,0.024805090061833436,0.022933302880602642,-0.26639117199741114,-0.5090357258987431,-0.582119630253247
2017/04/28,300268,万福生科,万福生科2016年度业绩网上说明会,0.0,0.0,0.0,0.0,-0.20511899625333294,0.0712171559726212,0.024679683007475625
2017/03/28,000002,万科A,万科A2016年度业绩投资者交流会,-0.023650626390352373,-0.021708448148397005,-0.017156030089783926,-0.04446881927514473,-0.00019348440189622749,0.05578613519096637,0.20221389381787486
2017/05/04,300168,万达信息,万达信息2016年度业绩网上说明会,0.0,0.0,0.0,-0.16440925447358606,-0.2013307349619537,-0.3139496968639245,-0.3193302633163363
2017/04/12,002739,万达院线,万达院线2016年度网上业绩说明会,-0.017183858141766917,-0.047402245567562944,-0.07062008543520253,-0.03678575299703041,-0.030115222132410826,-0.12787254155749106,-0.16446411774420008
2017/04/27,300055,万邦达,万邦达2016年度业绩网上说明会,0.0643633324045696,0.054987924948912914,-0.0007725882502866312,0.07561367174469046,0.08411268411268347,0.09981472805884242,0.06357476489745972
2017/04/18,002434,万里扬,万里扬2016年度业绩网上说明会,0.02143189936325532,0.012270539923358262,-0.01867811340472101,-0.09016237704798231,-0.05750827580695452,-0.11344550384992398,-0.13052922445601148
2017/05/02,002785,万里石,万里石2016年度业绩说明会,-0.026389116538272347,-0.05380566691210554,-0.1325222313752824,-0.23854495255420324,-0.27687876175089354,-0.3891588715624666,-0.4281228720117188
2017/04/27,300591,万里马,万里马2016年度业绩网上说明会,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/04/07,300552,万集科技,万集科技2016年度业绩说明会,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/04/17,300057,万顺股份,万顺股份2016年度业绩说明会,0.0,0.0,0.0,0.0,-0.25781343692155295,-0.26424292594083476,-0.31039139936006654
2017/05/04,002276,万马股份,万马股份2016年度业绩说明会,-0.0028433323855560125,-0.046399055489964716,-0.12445141065830728,-0.2414640180969885,-0.2499945484734168,-0.32650550904444403,-0.42538759557565387
2017/03/17,002555,三七互娱,三七互娱2016年度业绩说明会,-0.009632469840082111,-0.011862458193979951,0.0008638079205296545,0.11469856819894485,0.2597728830451431,0.22175633529032043,0.17749127618206584
2017/03/28,300276,三丰智能,三丰智能2016年度业绩说明会,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/04/10,300051,三五互联,三五互联2016年度业绩网上说明会,0.0,0.0,0.0,0.0,-0.23527491843996048,-0.3317502324925347,-0.37747479915112864
2017/04/10,002417,三元达,三元达2016年度业绩说明会,0.0,0.0,0.0,0.0,-0.22830035340040122,-0.22118883444437878,-0.22664533866800546
2017/05/04,002216,三全食品,三全食品2016年度业绩说明会,0.0020207852193995465,0.006148594460095993,0.01555958463820632,-0.060667687919285486,-0.11464938866975627,-0.10188461129555594,-0.09715035059846791
2017/04/21,300295,三六五网,三六五网2016年度业绩网上说明会,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/03/31,002224,三力士,三力士2016年度业绩说明会,-0.012341374982568652,-0.02455006922011986,-0.07498357681358894,-0.18170829772910785,-0.24383495643290487,-0.33985608915788573,-0.41843419727296116
2017/05/05,002112,三变科技,三变科技2016年度业绩网上说明会,-0.03471017007983351,-0.058371996987878795,-0.05485344499429021,-0.0700769363901495,-0.06355262509358578,-0.11038765949322926,-0.21280156800395686
2017/05/10,002621,三垒股份,三垒股份2016年度业绩说明会,0.0,0.0,0.0,0.0,0.0,-0.4098568655939618,-0.3939549168334678
2017/03/15,002780,三夫户外,三夫户外2016年度业绩说明会,0.007641633728590363,-0.016598508539812415,-0.03538382909443292,-0.11568512276730777,-0.42029919574556796,-0.561976350213327,-0.5978923969624365
2017/03/22,300066,三川智慧,三川智慧2016年度业绩说明会,-0.006995581737849826,-0.00245190494153168,-0.0028172960184291635,-0.06443329869714642,-0.12321112422543522,-0.2222216328219834,-0.4114343784498594
2017/04/05,300515,三德科技,三德科技2016年度业绩说明会,0.0,0.0,0.0,0.0,0.0,0.0,0.0
