,Question,Answer
31,不断有光线投资百亿实景娱乐的项目，请问这样的重资产项目目前处于什么进度？预计多久之后能给公司带来收益增长？,目前我们的实景娱乐业务还在规划之中，投资规模和具体项目都处于早期预估阶段；但是我们对扬州项目给予了足够的重视。我们希望做的是产业基地+实景娱乐，早期的重点可能主要在产业基地。
32,公司使用闲置自有资金购买理财产品，目前进展如何？收益如何？,公司购买理财产品会遵守相关监管规定，公司购买理财产品相关信息会在半年报及年报中进行披露，敬请关注。
33,电视剧、网剧市场进入重新洗牌阶段，市场集中度在不断提高，公司在网剧市场领域发展的怎样了？,我们今年将有多部主投主控的剧集实现收入，此外还择优投资了多部头部剧集。
34,公司在电影发行过程中是怎样运用光线传统的驻地发行和猫眼的在线发行平台的？是否会有组合性的协同方式？谢谢,我们在遵守关联交易相关规则的前提下，一直在进行密切合作，将来也将摸索更多、更有效的合作方式。
35,网剧新笑傲江湖反响并不好，这些经典翻拍其实难度是很大，往往很难超越，所以建议公司不要翻拍经典，未来网剧拥有很大市场，公司是怎么看这块市场的，有没有作为一个重点发展方向，实际上网剧只要故事情节好，一些新人小成本投入也能取得好的成绩，可以学习日本东京爱情故事这样小成本制作的经验。,谢谢您的关注，公司会考虑您的建议。
36,公司是如何看待评论人说的，猫眼持续“烧钱”的“票补压力”已经严重影响到公司主业，这一件事的？,这种情况完全不存在。
37,王总你好 我有件事总是不明白 为什么媒体或者所谓的市场主流一直在置疑光线呢 前两年主营业绩好说没有爆发点 今年新丽转让包括投资猫眼的超前理念 包括华谊也在后悔没做票务平台 又被解读为主营不行靠卖血充实业绩 为什么呢 好像一直都不希望光线好而且在二级市场的股价也是这样子表现 他们就看不到公司一直在努力 这个您怎么理解呢,正如您所言，如果是有媒体对我们进行了不客观的报道，大家是能够看出来的。最终还是取决于企业做得好不好，而不是在于其他人的评价。
38,最近两年光线和腾讯在资本层面的合作非常成功，有没有和腾讯进一步的战略合作安排？,我们与多家互联网行业的领导者都有合作，不排除继续未来深化合作。
39,王总您好，记得在之前两会采访中，成龙曾说过，中国有熊猫也有功夫，但中国为什么拍不出《功夫熊猫》？光线从15年即开始布局动漫，相信也是看中中国动漫电影的发展空间。中国文化中可挖掘的内容的确也很多。但想请问您，您认为过往限制中国动漫电影发展的因素有哪些？目前和未来会在哪些方面的作出突破？谢谢,最大的限制在于：动画市场没有起来；动画人才数量严重不足。现在这两种状况都在发生改变，我们是推动这种改变发生的重要力量之一。
40,王总好，2017年报披露的业绩中，公司的投资收益已经占到44%多一点，也就是主营业务收入占比有下降。在您看来，希望主营业务收益占比更高还是投资收益占比更高？另外，中国电影票房总量500多亿，您认为只靠电影主业，取得的净利润有天花板吗？,光线一直以来都是主营业务利润超过投资收益的，我们做投资也主要是为了夯实我们的主营业务，如果投资业务给我们带来了较大的投资收益也是锦上添花。目前，中国电影市场还在稳步发展中，未来几年票房总规模有可能达到千亿，那时中国电影有可能进入一个盘整期。能否持续提供高质量的电影作品是影响市场的最主要因素。
41,请问王董，公司年报中阐述了发力电视剧业务的规划，电视剧业务相比 电影或动漫业务有何优势特点？为何在现阶段公司选择重点发力电视剧业务？,因为网剧市场的崛起，使原来意义上的电视剧市场有了更大的空间。同时我们多年来积累的影视资源和人才现在进入逐步释放的阶段，比如我们拥有大量的IP资源可以影剧联动。我们今年将有多部主投主控的剧集实现收入，此外还择优投资了多部头部剧集。
42,公司参与投资和发行的《三体》电影还能上映吗？,有可能上映。
43,王总你好，一段时间光线总是会集中出现一些负面消息，别的公司利空被一些媒体解读为利好，而光线无论好的坏的，都被解读为利空，比如出售新丽和此次后来事件，猫眼和光线同时受到攻击，光线如何应对这类事件和一些无良媒体的不实报道，因为这些因素你不去反击，它确实会给公司造成实质的影响。,我们也不认为公司受到了比其他公司更不公平的待遇，但是误解、非议、诽谤在任何行业都是存在的。最好的回击方法就是坚持做对的事情，清者自清。
44,公司涉足的电商及衍生品的营收状况如何？,当前电影带来的电商和衍生品市场规模还比较小，公司目前不会将这部分作为业务重点。
45,王总：您好，我想提一个问题：从2018年至今中国电影票房来看，呈现增长的势头，您对未来五年内乃至更长中国电影和国产电影的趋势持怎样的观点？最大的影响因素是什么？光线是如何或准备怎么做的？,未来几年票房总规模有可能达到千亿，那时中国电影有可能进入一个盘整期。能否持续提供高质量的电影作品是影响市场的最主要因素。上座率的提高是市场规模的主要发力点，而上座率是由好电影驱动的。
46,公司出售新丽传媒的股份是基于怎样的考虑？,新丽传媒决定撤回上市并计划向第三方出让股份，在此过程中，光线获得了一个很好的转让价格，因此综合考虑下，公司决定出售新丽传媒股份。
47,最近有机构计划调研公司吗？,公司如有调研活动，将会及时发布相关活动记录。
48,公司的宣发人员和同业其他公司比的优势在哪？谢谢,我们是国内最早建立驻地发行系统的公司，加之我们之前的传媒及节目经验，所以我们的发行团队除了发行外，还有非常强的市场营销能力。
49,请问公司目前员工中的宣发人员目前是多少，过去几年变化趋势如何，18-19年有没有人数目标？谢谢,宣发人员在100人之内，分布在总部及各地。未来没有大的变动计划。
50,2018年度，公司在动漫领域取得了哪些成果？,2018年，已经上映的动漫电影包括金马奖获奖的《大世界》、知名IP系列动漫电影《熊出没》、本年度，公司将会推出动漫电影《昨日青空》、真人动漫电影《查理九世》、并会继续引进日本动漫电影，并有多个动漫电影在制作过程中，会在2019-2020年陆续推出。
51,请问王总，公司在动漫产业当中算是先行者，公司能否引国产动漫崛起，对标21世纪福克斯和迪士尼？,中国动画电影还处在早期发展阶段，但是我们已经处在行业领先地位，我们预计国产动画电影将在未来几年大规模爆发。我们希望能够占到国产动画电影的80%市场份额。
52,请问王总，公司转手的项目，会平价出手还是会有折价或溢价？,公司会根据不同的项目有不同的转让方案。
53,王总很钦佩你个人和光线的成长史 ，您的书法我也是经常看，字很漂亮。关注光线很久，今年才开始投资，主要是贵公司并购猫眼后，我对这个整合很看好，如果做的好，可以通过猫眼平台知道大众对那些题材类型，那些明星更喜欢，这样在影片制作上也更容易出爆款。你个人对猫眼有何期待，有今明两年的上市计划么，估值能达到多少。后期面对阿里砸钱支持的淘票票，建议加大和腾讯美团的联系，共同迎击淘票票。,感谢您对王总及公司的关注和认可。猫眼未来的路径由猫眼自行决定，我们所有股东都会给予鼎力支持。
54,请问王总，未来三年对千亿市值是否有信心？,我们无法预测或影响市值，但是我们相信，只要有好的业绩和发展前景，市场会给予合理的认可和价值。我们对公司未来的业绩和前景充满信心。
55,今年一季报显示，公司扣非后净利润同比下滑了，造成如此的主要原因是？如何加以改善？,主要是因为一季度公司投资上映的电影项目投资比例不高，但是公司在二季度后会陆续推出更多的优质电影项目。
56,请问王总，贵公司的子公司彩条屋影业在动画领域中会与国内的原力动画、追光动画进行合作吗？接下来贵公司会不会再多参与一下高质量的高内涵的独立电影？,我们跟国内领先的动画公司都有可能合作，但是彩条屋旗下的20多家动画公司是我们开展动画业务的主体，我们还将继续拓展投资和合作范围。我们一直关注独立电影，也一直都有合作。
57,跳票已久的《三体》年内能上映吗？,有可能上映。
58,请问光线传媒相对于同行业其它公司的独特优势表现在哪些方面？或者说公司的核心竞争力是什么？,我们的产业链更加完整，项目储备更多，发行能力处于领先地位。同时行业资源更丰富，团队能力更强，标准更高。
59,光线传媒2018年一季报没有详细披露电影业务收入，而此前这项收入是披露的，为什么？,公司披露原则是按照交易所披露要求及格式进行披露。
60,请问王财总，公司现金收入与利润都不错， 为何经营现金净存是负数，请问 主要在哪些方面消耗过大？,主要是公司在2017年投资的影视剧项目较多，相关支出的现金较多。 
61,请问董事长兼您去年此时说过猫眼会在18年有独立上市计划 通过合并后还有此计划吗 外媒传今年在香港上市是否属实 后续还会进一步增持吗 谢谢 一个持有三年多至今被套的小股东,我们作为股东希望猫眼能够独立走向资本市场，但它是独立运营的公司，它会根据自身的需要决定公司发展路径。我们不排除进一步增持的可能性；如有进一步计划，公司将及时履行信批义务。
62,请问王总：最近的猫眼退票事件和《英雄本色2018》发行风波，是否有可能有人在背后恶意为之？这两件事对于公司后续的业务会否有影响？谢谢,不排除有人在背后恶意为之；对公司业务没有影响。
63,请问王总今年及接下来2-3年储备的影视剧的情况，预计收入的增长速度？,我们已将确定的项目披露在年报中，同时还有大量的项目在洽谈和储备中。关于收入的预计增长速度，根据相关信批政策无法回答。
64,请问贵司2018年及未来有分红股或者资本金转增股的打算吗？,2018年分红送配会在2018年年报中体现，2018年年报将会在2019年4月30日前披露。
65,"您好，王总，针对我们光线传媒，本人有几个问题想询问：
1、近2015~2017年，业务总收入增长率呈现递减，是否意味我们公司目前主营业务遇到瓶颈？未来我们管理层打算如何重新找到新的增长点。
2、一季度光线传媒将持有的27.642%的新丽传媒出售给腾讯是以33.17亿元，收益是22.66亿元？请问该笔资金管理层未来是否有投资项目或方向预定？
3、请问管理层未来将如何加深布局动画领域？",1、公司业务目前在正常增长范围之内；2016年是因为《美人鱼》项目，公司利润大幅增长，其他年份公司都是正常增长；目前看来2018年业绩会有良好表现。2、目前公司对该笔资金都有良好规划，主要用于主营业务及与主营业务相关的股权投资，以及偿还一部分公司债。3、目前公司已经投资超过20家动画公司，并将持续投资优质动画公司；我们与这些公司有一批优质项目在进展之中，今年将有《昨日青空》，明后年将陆续有重量级影片上映。
66,公司在2018年储备的影视项目主要有哪些？,公司2018年影视剧项目情况已在公司4月23日披露的《2017年年度报告》中体现，请您查阅。
67,请问王财总，公司未出品影剧 以 库存形式列表，请问 这一部分的成本与 常规的管理费用 如何分隔？,管理费用会在发生当期确认，影视剧库存项目会在实际影视剧上映后按照会计准则确认相关成本，管理费用不会确认在库存或者成本中。
68,《后来的我们》遭遇恶意刷票和退票事件，给公司带来了声誉损失，公司准备如何弥补？,目前证据表明不存在所谓的恶意刷票情况，猫眼在此事件中更无任何不当行为。
69,请问王财总，公司现金收入与利润都不错， 为何经营现金净存是负数，请问 主要在哪些方面消耗过大？,主要是公司在2017年投资的影视剧项目较多，相关支出的现金较多。
