,Question,Answer
21,请问老总公司今年净利润同比增长多少？,谢谢您对公司的关注。公司实质控制人的变更以及重大资产重组业务的开展，将会对2017年净利润产生一定程度的影响，尚无法准确估算增长比例。请您关注公司后续公告。再次感谢您的支持和理解。
22,请问老总， 2016年存货是多少，存货增加的内容是哪些？,"感谢您的提问。2016年末，公司存货余额为149,545,407.18元，相较于同期并无明显变动。谢谢！"
23,公司有什么员工培训计划吗？,谢谢您的提问。公司长期重视内部人才培养和外部人才引进，持续不断进行员工安全、环保、业务技术等方面的培训，配合合理有效的激励机制，搭建适合人才成长、发现和发展的环境和平台。
24,公司目前的股东结构是怎样的？是否有利于优化公司治理结构和企业长远发展？,谢谢你的提问。目前公司的股东结构请参见2016年度报告，公司将加强管理，提升业绩，吸引更多投资者的关注和支持，为股东创造更大价值。感谢您的关注和支持。
25,能简单的介绍下新项目的情况吗？,谢谢您的公司的关注和支持，目前重大资产重组尚存在较大不确定性，根据监管政策要求无法详细介绍，请您关注公司后续公告。谢谢您的理解。
26,今年会加大手游业务投入吗？,谢谢您的提问。公司已于2016年将手游业务全部转出，预计2017年不会加大业务投入。感谢您的支持。
27,请问今年公司有没有新的盈利增长点,"谢谢您的提问。
2017年，除了在纺织产业继续发展外，公司将运用上市公司的平台优势，计划对国家支持的战略实体产业加大布局。以公司一贯的精耕细作的工匠精神经营实体产业，以获得公司长期的可持续发展。
具体情况请您关注公司后续公告！谢谢支持！
"
28,公司截至目前为止都有哪些子公司和参股公司？,谢谢您的提问。由于公司的子公司和参股公司较多，不在此处一一回答，请您参见公司2016年度报告正文。谢谢您的关注和支持。
29,公司的实际控制人发生了变化，请问公司会设置股权激励计划吗？,"谢谢您的提问！
优秀人才的缺乏是制约每个处于快速发展期企业的瓶颈，公司必须长期重视内部人才培养和外部人才引进，配合合理有效的激励机制，搭建适合人才成长、发现和发展的环境和平台。目前，公司暂没有成熟的股权激励具体计划, 但其作为一种有效的激励手段仍是公司在未来合适时可能考虑的方式之一, 希望您在未来继续关注公司。
再次感谢您的关注，谢谢。
"
30,公司自我感觉会不会退市？,谢谢您的提问。公司已经进入新的发展阶段，将继续坚持通过加强技术研发、优化工艺流程、深耕精细化管理、整合产业链资源，做好存量资产，也将开拓新的业务。请对公司保持信心，不会退市。再次感谢您的支持。
