,Question,Answer
18,公司以前的发展可以形象的比喻成大头儿子式的发展！即设计远远强于施工等业务！上市以来公司也在逐步转变！那么未来公司在设计业务能力不减的情况下如何加大下游产业链的发展？有何计划？,公司会利用设计业务较强的核心竞争力，充分发挥设计在整个产业的入口优势，以设计、施工总承包（EPC）业务模式为载体，积极向产业链下游拓展业务。谢谢！
19,公司如何拓展中西部市场？,公司中西部区域项目收入在公司全部收入中已占有一定的比重。公司近期中标的巩义市生态水系建设项目勘察设计项目就属于中西部项目。未来，公司将继续在全国范围内积极开拓业务。谢谢！
20,公司在研发上的投入如何？,公司一直注重研发，通过研发不断提升技术水平，2017年度，公司投入研发费用821.94万元。
21,公司与银行战略合作对公司有何影响？,公司与银行申请授信额度不超过100亿元人民币，具体授信金额根据业务的实际情况确定，有利于公司新业务的开展以及加快资金周转，提高资金使用效率。
22,公司一直以人才引进为抓手！未来是否有进一步的员工持股计划？,公司一直注重人才的引进和培养，已经制定了具有市场竞争力的薪酬考核体系，未来，公司将根据发展情况适时推出员工持股计划等多种方式，增强公司对人才的吸引力。
23,雄安成立一年来很多公司设立分公司或子公司！贵公司是否考虑成立新的公司参与雄安建设？,公司未来会根据整体经营战略以及业务发展的实际情况制定分公司开设计划，并将履行相应的审议程序，及时向投资者公告。公司不排除未来在雄安新区设立分、子公司，开拓周边市场业务。
24,公司去年和多家银行签订授信意向书金额达100亿元，今年这些意向是否会陆续落地？如果落地是否有兼并重组下游优秀施工企业的打算？5、企业一直以来都是以积极吸收专业设计人才为抓手，是否有员工持股计划吸引更多优秀人才加入公司？,公司与相关银行签订的意向性授信和融资额度，包括项目贷款、流动资金贷款、并购基金、产业基金、并购融资等业务，支持公司产业链延伸、业务类型拓展等，做大做强，实现战略目标。公司会根据具体的经营发展情况，进行资金配套，在适当的时候会通过股权激励和员工持股计划等激励手段来吸引更多的优秀人才加入。
25,吕总您好！公司去年参与多个海南项目取得社会好评！未来企业会在海南设立公司吗？海南业务比重会大幅增加吗,公司未来会根据整体经营战略以及业务发展的实际情况制定分公司开设计划，并将履行相应的审议程序，及时向投资者公告。因前期海南项目尚未全部确认收入，预计公司2018年上半年收入区域构成中，海南区域贡献的收入比重较高。
26,公司17年净利大幅增长，请问18年能否继续保持增长？,你好，公司去年成立了设计集团和生态环境集团，确立了设计业务和生态环境业务双轮驱动的发展战略，随着公司在产业链业务的延伸和拓展，今年公司的业务会继续保持增长。
27,一季度订单情况如何？,您好，公司一季度新签订单约2.3亿元，重大中标项目请参阅公司相关公告，谢谢。
