,Question,Answer
21,江西南昌LED外延片和芯片项目什么时间能投入运营？,您好！LED外延片及芯片项目预计于2018第四季度点亮，2019第一季度释放产能，2019第二季度达产一半，2019第三季度达产，并储备有Micro LED、UV-C、激光照明等领域的技术。感谢您的关注！
22,请问，公司对美国市场的依存度如何？在主营业务收入中所占的比重怎样？,"您好！
公司对美国市场的依存度很低。根据2017年年度报告，公司国内、国外的营业收入占比分别为67.91%、32.09%。出口美国市场的销售收入占主营业务销售收入的比重不到2%。
感谢您的关注！"
23,公司对风行电视的媒体新闻实在太少，投资者如何了解风行电视情况呢？,"您好！
您可以登录风行商城、京东、天猫相关网站，了解风行电视。
感谢您的关注！"
24,风行网的风行币主要用于游戏产品，未来会扩大风行币的使用范围吗？,您好！目前，风行网的风行币主要用于游戏产品，未来不排除扩大风行币的使用场景和范围。感谢您的关注！
25,希望顾总扩大自己的朋友圈，向张近东，许家印，李如成等企业家学习，多投资，多参股，这样扩大人脉，别人也会投资兆驰的企业，例如风行。兆驰有资金实力，投资完全可以成为兆驰的一项主业。,您好！谢谢您对我们的支持与鼓励。我们将不断向优秀企业学习，努力提升公司业绩，与投资者共同分享公司的成长与进步。感谢您的关注！
26,兆驰二期产业园什么时候可以投产,您好！兆驰二期产业园预计于2019年底启用。感谢您的关注。
27,请问风行网现在经营状况如何？,"您好！
风行被收购后，销售额逐年增加，亏损额逐年降低。2017年互联网服务业务部分实现盈利。目前除经营传统视频业务外，还经营小视频、互联网电视业务。管理层对风行网充满信心，致力于将风行网打造成中国的“ROKU"".
谢谢您的关注！"
28,请问公司今年一季度业绩是否大幅度提高还是出现巨亏？,"您好！
公司2018年第一季度报告预计于2018年4月28日披露。
感谢您的关注！"
29,请帮分析解释下兆驰股份在互联网电视转型中的地位?,您好！公司以工业智能制造优势为基础，通过外延发展迅速整合优质内容资源及互联网平台，逐渐完成向互联网电视业务联合运营的战略转型，通过家庭电视迅速获取用户入口的同时，打造“内容+终端+平台”的互联网电视生态系统。感谢您的关注！
30,降税是否对公司税收方面有影响,"您好！
增值税税率调减政策原则上会降低公司税负，具体影响程度及减税金额待相关细则出台后，方可明确。
谢谢您的关注！"
31,请问智能音箱是以代工模式还是自有品牌模式进行销售？,您好！计划以自有品牌模式进行销售。感谢您的关注！
32,公司计划年底将LED封装线增至1500条，请问现在已投产运行的生产线共有多少条？,您好！公司现已投产运行的生产线共有500条，计划于2018年底在南昌增扩1000条线。感谢您的关注！
33,想问下，风行网现在有多少注册用户？活跃用户有多少？片源来自哪里？,您好！风行在线一方面联合运营合作方在电视端影视体育等内容资源，另一方面自主运营风行网PC移动端影视版权资源，并涉足短视频领域的内容创新、分发创新、营销创新，建立了公司在互联网大视频领域的内容布局。感谢您的关注！
34,公司有大量的资金，是否有考虑兼并收购的事宜呢？,您好！公司在坚持主营业务发展的基础上积极向外拓展，不排除通过对外投资、收购兼并、业务合作等多种形式。感谢您的关注！
35,"根据风行在线的发展状况,未来会不会考虑独立上市？",您好！根据风行在线的发展状况及资金需求，未来不排除让其独立上市或挂牌新三板。感谢您的关注！
36,请问公司智能音箱什么时间量产并上市销售？,您好！公司智能音箱预计于今年第三季度实现销售，首批产品主要面向海外市场。感谢您的关注！
37,请问江西兆驰半导体公司采用的是硅衬底led技术吗？,您好！公司LED外延片及芯片项目的原材料为蓝宝石衬底片。感谢您的关注！
