,Question,Answer
22,公司的前5名供应商是什么，与公司存不存在关联关系？,尊敬的投资者，您好！请见年报第四节“经营情况讨论与分析”，与公司不存在关联关系。谢谢。
23,公司目前主要的研发方面是什么？,尊敬的投资者，您好！公司的研发项目集中在对新产品、新工艺、新配方的创新上，对新产品研发创新的目的是为了更好地满足农作物生长对养分的需求，对新工艺、新配方的研发创新的目的是为了降低生产成本，生产出更加高效环保的肥料产品，不断提高公司核心竞争力和盈利水平，更好地服务“三农”。谢谢。
24,请问公司拟进入的什么新的细分领域吗？这一领域与公司现有业务的相关性？,感谢您对我公司的关注，公司已通过参股、合资等方式向农业大数据、农业物联网、品牌种植、农副食品安全检测等领域进入。公司将继续围绕“生态芭田、智慧芭田”建立三大平台，即农业定制平台、智慧农业大数据平台、农产品检测服务平台，通过资本合作、业务合作等模式加快公司实现公司发展战略，实现协同效应。加快芭田向中国农业综合化服务解决方案提供商。谢谢！
25,公司高级管理人员的考评及激励情况怎样，有没有股权激励制度？,此问题已回复！
26,2017年公司是否考虑对高管实行股权激励，如果有的话大概什么时候实行？,尊敬的投资者，您好。公司会在恰当的时机考虑此问题，届时请关注公告，谢谢！
27,公司在税收方面有没有相关的优惠政策？具体税率是多少？,尊敬的投资者，您好！公司在税收方面的优惠政策和税率详见“2016年度审计报告”财务报表附注第六项“税项”。谢谢！
28,公司截止目前的股东总人数是多少？,感谢您对我公司的关注，截至2017年3月31日共有股东人数70255名股东。谢谢！
29,公司今年的财务费用会有多少？,尊敬的投资者，您好！2016年的财务费用6944万。谢谢！
30,无人机调试了一年多还没有结果，是不是出现了什么问题？,感谢您对我公司的关注。针对您提出我公司无人机项目情况。公司本着对股东负责，对农用植保无人机进行了充分的调研、分析。我公司会根据农用植保无人机项目的进展情况及合作模式适时公告，请随时关注我们的相关公告。谢谢。
31,公司预计2017年业绩较去年同期是上升还是下降？若上升，则增幅是多少？,尊敬的投资者，您好！2107年业绩的预计详见定期报告“经营业绩预告章节”。谢谢。
32,现在公司业绩越来越差，整个行业也不景气，公司有什么举措去扭转局面？,尊敬的投资者，您好！请阅读2016年度报告中的相关章节！谢谢您的关注。
33,请问：公司已经投产的募投项目及超募项目，2017年是否可以完全投产并且贡献效益？这部分的折旧和费用对利润影响大吗？谢谢,尊敬的投资者，您好！公司2016年非公开发行不存在超募情况，谢谢！
