code,short,pos,neg
002003,伟星股份,73.65,15.0
002010,传化智联,78.0,28.45
300181,佐力药业,46.85,7.0
002644,佛慈制药,47.5,10.0
300264,佳创视讯,42.5,10.0
300559,佳发安泰,26.0,3.0
300193,佳士科技,63.75,24.95
300213,佳讯飞鸿,40.5,7.0
002495,佳隆股份,45.75,11.0
300249,依米康,49.0,7.5
002286,保龄宝,72.0,22.7
300469,信息发展,94.5,11.5
002294,信立泰,85.0,20.0
300136,信维通信,42.75,6.0
002664,信质电机,53.5,11.0
002390,信邦制药,50.0,7.0
002105,信隆健康,42.5,4.0
300529,健帆生物,41.5,9.5
300174,元力股份,54.75,11.5
002562,兄弟科技,51.0,9.5
002256,兆新股份,48.0,6.5
300333,兆日科技,57.0,16.0
002429,兆驰股份,100.5,14.0
300450,先导智能,86.2,20.5
300137,先河环保,44.0,15.0
300541,先进数通,42.25,9.0
300163,先锋新材,111.0,51.150000000000006
002767,先锋电子,46.75,10.0
300356,光一科技,142.0,37.4
002741,光华科技,60.0,12.5
002524,光正集团,46.0,6.5
002708,光洋股份,35.0,13.0
300383,光环新网,58.5,12.0
300251,光线传媒,390.825,161.225
002281,光迅科技,96.0,27.0
300227,光韵达,89.75,22.5
002661,克明面业,56.0,14.5
002043,兔宝宝,51.75,15.5
300458,全志科技,100.0,50.0
002186,全聚德,122.375,46.2
300359,全通教育,70.0,19.5
002592,八菱科技,37.0,19.0
002655,共达电声,90.0,25.2
002436,兴森科技,46.75,17.0
002355,兴民智通,31.0,7.0
300266,兴源环境,115.25,33.0
300573,兴齐眼药,43.0,14.2
002691,冀凯股份,58.0,17.5
300536,农尚环境,47.75,4.0
300238,冠昊生物,87.05,35.25
002102,冠福股份,95.25,28.25
300533,冰川网络,71.2,15.0
002207,准油股份,83.0,47.5
002760,凤形股份,129.0,28.75
002823,凯中精密,45.75,11.0
300326,凯利泰,52.0,38.0
300407,凯发电气,104.5,23.7
002012,凯恩股份,32.5,4.0
002425,凯撒文化,45.5,6.0
002072,凯瑞德,63.2,7.0
002549,凯美特气,76.0,14.5
002821,凯莱英,82.75,25.2
002783,凯龙股份,63.625,21.0
002027,分众传媒,124.95,27.5
300451,创业软件,111.0,30.0
300366,创意信息,72.25,22.4
002173,创新医疗,74.0,10.5
300250,初灵信息,203.1,78.025
300296,利亚德,74.0,19.0
002651,利君股份,49.0,7.5
300596,利安隆,48.0,8.0
002258,利尔化学,119.0,25.0
300289,利德曼,81.25,22.9
002131,利欧股份,42.625,19.5
002734,利民股份,64.2,19.75
002501,利源精制,81.5,26.2
601366,利群股份,71.25,18.5
002189,利达光电,31.0,3.0
300421,力星股份,46.5,7.0
300184,力源信息,105.45,25.5
002393,力生制药,113.7,73.5
002650,加加食品,76.0,28.9
002191,劲嘉股份,129.8,38.2
300400,劲拓股份,30.0,9.0
002638,勤上股份,65.5,36.5
002392,北京利尔,60.0,24.2
300223,北京君正,106.5,49.5
002350,北京科锐,70.9,19.0
300352,北信源,56.0,22.0
002246,北化股份,61.25,13.0
002151,北斗星通,85.0,13.0
002307,北新路桥,78.75,17.5
002371,北方华创,53.0,5.5
002613,北玻股份,73.0,10.5
002148,北纬通信,255.9,70.7
300216,千山药机,83.5,16.25
002373,千方科技,26.5,9.5
002550,千红制药,74.0,22.0
002259,升达林业,89.25,25.25
002248,华东数控,59.5,16.7
002685,华东重机,48.0,23.2
300161,华中数控,207.125,61.5
300110,华仁药业,41.75,9.0
002018,华信国际,144.2,65.2
002007,华兰生物,177.25,42.15
300592,华凯创意,78.75,20.7
300045,华力创通,72.625,23.5
600325,华发股份,57.5,25.75
002185,华天科技,77.0,22.439999999999998
000607,华媒控股,119.0,40.7
002042,华孚色纺,76.25,13.5
300271,华宇软件,79.5,27.5
002645,华宏科技,59.0,11.0
002064,华峰氨纶,77.5,35.5
300180,华峰超纤,53.0,7.0
002035,华帝股份,95.75,16.5
300291,华录百纳,94.0,31.2
002494,华斯股份,125.5,33.0
002274,华昌化工,50.0,8.5
300278,华昌达,55.75,12.5
002270,华明装备,59.5,7.0
300025,华星创业,89.0,30.7
300012,华测检测,68.75,17.5
002787,华源控股,48.0,4.0
300323,华灿光电,63.0,23.0
300133,华策影视,61.0,44.75
002840,华统股份,52.0,7.0
300490,华自科技,76.25,17.0
300527,华舟应急,45.75,9.25
002321,华英农业,46.0,10.5
300330,华虹计通,236.25,123.375
002630,华西能源,41.5,0.0
300027,华谊兄弟,85.75,26.75
300071,华谊嘉信,68.0,23.0
002758,华通医药,69.5,16.0
002004,华邦健康,76.0,27.25
300462,华铭智能,37.5,7.0
002806,华锋股份,24.0,1.0
300350,华鹏飞,53.2,12.0
002506,协鑫集成,63.5,21.5
002369,卓翼科技,61.0,8.5
002040,南京港,56.75,7.0
002757,南兴装备,46.5,9.5
300417,南华仪器,50.0,10.5
002305,南国置业,95.75,22.0
300346,南大光电,113.15,70.575
002314,南山控股,81.0,23.0
002096,南岭民爆,87.0,20.0
002127,南极电商,108.5,28.2
002389,南洋科技,127.0,25.5
002212,南洋股份,44.0,7.5
300280,南通锻压,61.75,16.5
300068,南都电源,129.0,26.0
300422,博世科,44.5,5.0
002297,博云新材,44.2,11.0
300548,博创科技,80.0,19.0
