code,short,pos,neg
002372,伟星新材,314.7,67.7
002003,伟星股份,233.225,40.75
002010,传化智联,250.725,22.0
300181,佐力药业,89.5,11.0
002644,佛慈制药,174.8125,16.0
300264,佳创视讯,88.0,6.0
300559,佳发安泰,183.25,21.0
300193,佳士科技,101.0,23.0
300213,佳讯飞鸿,442.0,51.5
002495,佳隆股份,147.775,16.0
300249,依米康,253.25,31.25
002286,保龄宝,247.125,16.5
300469,信息发展,327.5,41.0
002294,信立泰,353.5,38.0
300136,信维通信,182.875,23.0
002664,信质电机,97.7,19.5
002390,信邦制药,160.0,14.5
002105,信隆健康,191.0,13.0
300529,健帆生物,184.0,30.75
300174,元力股份,54.0,4.0
002562,兄弟科技,63.0,8.0
002256,兆新股份,131.0,13.0
300333,兆日科技,167.25,22.5
002429,兆驰股份,343.5,38.0
300450,先导智能,77.75,12.0
300137,先河环保,118.5,20.0
300541,先进数通,234.5,24.0
300163,先锋新材,176.375,34.9
002767,先锋电子,171.0,10.0
300356,光一科技,476.25,50.0
002741,光华科技,118.0,10.0
002524,光正集团,80.0,11.0
002708,光洋股份,49.0,2.0
300383,光环新网,353.5,67.0
300251,光线传媒,334.5,96.95
002281,光迅科技,78.0,12.0
300227,光韵达,302.25,41.7
002661,克明面业,149.5,17.5
002043,兔宝宝,87.0,9.625
300458,全志科技,276.625,56.75
002186,全聚德,335.0,39.5
300359,全通教育,209.5,13.0
002592,八菱科技,43.5,6.0
002655,共达电声,114.5,13.5
002436,兴森科技,97.0,10.0
002355,兴民智通,98.5,6.0
300266,兴源环境,1285.25,197.2
300573,兴齐眼药,80.95,10.0
002691,冀凯股份,148.0,25.0
300536,农尚环境,277.0,19.0
300238,冠昊生物,165.75,19.5
002102,冠福股份,334.375,30.5
300533,冰川网络,149.1875,29.5
002207,准油股份,259.5,90.5
002760,凤形股份,171.0,32.0
002823,凯中精密,140.0,10.0
300326,凯利泰,340.75,76.0
300407,凯发电气,298.5,42.5
002012,凯恩股份,52.5,6.0
002425,凯撒文化,133.2,10.0
002072,凯瑞德,133.75,16.0
002549,凯美特气,280.25,54.87500000000001
002821,凯莱英,193.5,23.75
002783,凯龙股份,461.25,109.25
002027,分众传媒,203.5,56.0
300451,创业软件,641.4,113.2
300366,创意信息,142.6,6.0
002173,创新医疗,265.75,39.625
300250,初灵信息,303.625,26.75
300296,利亚德,158.0,16.2
002651,利君股份,108.0,20.0
300596,利安隆,180.25,11.0
002258,利尔化学,359.75,83.5
300289,利德曼,252.0,39.0
002131,利欧股份,67.0,25.5
002734,利民股份,242.5,63.5
002501,利源精制,108.0,23.0
601366,利群股份,481.0,44.0
002189,利达光电,101.25,7.0
300421,力星股份,64.25,10.5
300184,力源信息,205.25,35.0
002393,力生制药,453.75,46.625
002650,加加食品,73.5,19.2
002191,劲嘉股份,235.625,23.5
300400,劲拓股份,40.5,7.0
002638,勤上股份,263.0,31.0
002392,北京利尔,181.25,34.0
300223,北京君正,180.125,31.0
002350,北京科锐,233.5,15.0
300352,北信源,272.5,31.0
002246,北化股份,129.5,45.0
002151,北斗星通,338.875,49.7
002307,北新路桥,283.5,29.0
002371,北方华创,165.0,14.0
002613,北玻股份,312.25,28.0
002148,北纬通信,286.45,21.0
300216,千山药机,157.25,18.0
002373,千方科技,73.0,13.0
002550,千红制药,127.75,18.5
002259,升达林业,117.75,12.0
002248,华东数控,239.75,34.0
002685,华东重机,214.5,47.0
300161,华中数控,322.4,54.0
300110,华仁药业,268.25,19.0
002018,华信国际,297.0,44.0
002007,华兰生物,329.75,53.0
300592,华凯创意,296.25,41.0
300045,华力创通,103.75,27.0
600325,华发股份,131.25,16.5
002185,华天科技,117.0,22.0
000607,华媒控股,284.625,32.0
002042,华孚色纺,77.5,7.0
300271,华宇软件,94.5,15.0
002645,华宏科技,141.5,18.2
002064,华峰氨纶,261.5,49.0
300180,华峰超纤,73.25,5.0
002035,华帝股份,217.75,10.0
300291,华录百纳,365.75,50.25
002494,华斯股份,129.0,26.0
002274,华昌化工,170.75,28.0
300278,华昌达,105.25,10.0
002270,华明装备,200.9,21.0
300025,华星创业,269.75,38.0625
300012,华测检测,215.875,34.5
002787,华源控股,270.0,35.0
300323,华灿光电,157.9,25.7
300133,华策影视,415.125,31.0
002840,华统股份,139.25,23.0
300490,华自科技,135.0,21.0
300527,华舟应急,137.5,12.0
002321,华英农业,92.25,12.0
300330,华虹计通,453.25,46.75
002630,华西能源,77.0,9.0
300027,华谊兄弟,328.875,47.5
300071,华谊嘉信,177.0,28.5
002758,华通医药,207.5,43.0
002004,华邦健康,215.5,22.75
300462,华铭智能,56.0,29.75
002806,华锋股份,72.75,5.0
300350,华鹏飞,170.75,18.6
002506,协鑫集成,708.25,145.5
002369,卓翼科技,151.875,30.0
002040,南京港,407.25,34.5
002757,南兴装备,94.9,9.0
300417,南华仪器,101.0,9.0
002305,南国置业,272.0,35.5
300346,南大光电,157.5,16.0
002314,南山控股,175.75,27.0
002096,南岭民爆,233.75,40.5
002127,南极电商,188.75,25.0
002389,南洋科技,385.0,68.0
002212,南洋股份,93.5,12.0
300280,南通锻压,304.15,44.0
300068,南都电源,196.25,29.0
300422,博世科,307.5,43.0
002297,博云新材,151.0,17.0
300548,博创科技,214.0,13.5
002698,博实股份,279.4,48.125
002649,博彦科技,75.5,17.0
300525,博思软件,254.75,22.0
300318,博晖创新,185.875,58.0
300404,博济医药,126.0625,13.0
002282,博深工具,178.0,11.0
300363,博腾股份,210.25,31.75
002268,卫士通,167.0,19.25
300253,卫宁健康,812.5,93.0
002648,卫星石化,286.875,25.625
002143,印纪传媒,122.0,30.5
300471,厚普股份,91.25,12.0
002718,友邦吊顶,109.75,16.5
002277,友阿股份,239.25,30.0
002481,双塔食品,65.0,5.0
002693,双成药业,254.5,45.95
002585,双星新材,114.0,5.0
300444,双杰电气,347.7,21.0
300100,双林股份,138.575,29.75
002381,双箭股份,166.5,19.0
002395,双象股份,172.75,29.0
002038,双鹭药业,268.625,98.10000000000001
300108,双龙股份,116.15,14.0
300551,古鳌科技,395.5,28.5
002782,可立克,147.25,19.0
300046,台基股份,169.5,11.0
002366,台海核电,138.5,14.0
002588,史丹利,149.0,32.5
002538,司尔特,529.625,73.7
002383,合众思壮,174.875,19.0
